Artist;Title;Album;Year
Judas Priest;Victim Of Changes;Metal Works '73 -'93;1993
Judas Priest;Beyond the Realms Of Death;Metal Works 73-93 (Disc 2);1993
Black Sabbath;Junior's Eyes;Never Say Die;1978
Iron Maiden;No Prayer For The Dying;No Prayer For The Dying;1990
Moi Dix Mois;monophobia;Nocturnal Opera;2003
Iron Maiden;The Prisoner;The Number Of the Beast;1998
Type O Negative;Love You to Death;October Rust;1996
Hellshock;Ghosts Of The Past;Only The Dead Know The End Of War LP;2003
Ozzy Osbourne;Goodbye To Romance;The Ozzman Cometh;1997
Judas Priest;All Guns Blazing;Painkiller;1990
Judas Priest;All Guns Blazing;Painkiller [The Re-Masters];1990
Deathspell Omega;Abscission;Paracletus;2011
Black Sabbath;Planet Caravan;Paranoid;1970
Anthrax;Got the Time;Persistence of Time;1990
Judas Priest;Hot Rockin';Point Of Entry;1981
Grip Inc.;Hostage to Heaven;Power of Inner Strength;1995
Amebix;Chain reaction;The Power Remains;1999
Iron Maiden;Losfer Words (Big 'Orra);Powerslave;1984
Ludichrist;Stuff To Fill Graves;Powertrip;2000
Judas Priest;Love Zone;Ram It Down;1988
Pantera;Do This My Way;Reinventing the Steel [Clean];2000
Metallica;For Whom The Bell Tolls;Ride the Lightning;1984
Judas Priest;Winter;Rocka Rolla;1974
Judas Priest;Winter;Rocka Rolla (Digipak Re-release);1974
Black Sabbath;Fluff;Sabbath Bloody Sabbath;1973
Black Sabbath;Symptom Of The Universe;Sabotage;1975
Judas Priest;Dreamer Deceiver;Sad Wings of Destiny;1976
Judas Priest;Dreamer Deceiver;Sad Wings of Destiny (Digipak re-release);1976
Judas Priest;Riding on the Wind;Screaming for Vengeance;1982
Iron Maiden;Can I Play With Madness;Seventh Son Of A Seventh Son;1988
Jesus Lizard;Sea Sick;Show;1993
Judas Priest;Starbreaker;Sin After Sin;1977
Judas Priest;Starbreaker;Sin After Sin [The Re-Masters];1977
Labyrinth;Sons Of Thunder;Sons Of Thunder;2000
Judas Priest;Better By You, Better Than Me;Stained Class;1978
Judas Priest;Better By You, Better Than Me;Stained Class (remastered);1978
Black Sabbath;It's Alright;Technical Ecstasy;1976
All Shall Perish;Procession Of Ashes;This Is Where It Ends;2011
Manimals;My Blackest Mood;Turn Up the Fun;2000
Stratovarius;Madness Strikes At Midnight;Twilight Time;1999
Judas Priest;Sinner;Unleashed In The East;1979
Pantera;Walk;Vulgar Display Of Power;1992
Arch Enemy;Heart Of Darkness;Wages of Sin;2002
Pantera;By Demons Be Driven (Biomechanical mix);Walk (EP);1993
Manowar;Nessun Dorma;Warriors of the World;2002
Faith No More;From Out Of Nowhere;Who Cares A Lot? The Greatest Hits [Disc 1];1998
Faith No More;Instrumental;Who Cares A Lot? The Greatest Hits [Disc 2];1998
Corrosion Of Conformity;Holier;Animosity;1985
David Shankle Group;The Widowâ€™s Peak;Ashes to Ashes;2003
Iron Maiden;Aces High;Best Of The Beast;1996
S.O.D.;Monkeys Rule;Bigger Than The Devil;2000
Black Sabbath;Warning;Black Box: The Complete Original Black Sabbath (1970-1978);1970
Black Sabbath;Evil Woman;Black Sabbath;1970
Black Sabbath;Wicked World;Black Sabbath;1970
Black Sabbath;FX;Black Sabbath, Vol.4;1972
Judas Priest;Grinder;British Steel;1980
Judas Priest;Grinder;British Steel [The Re-Masters];1980
Arch Enemy;Silverwing;Burning Bridges;2001
